climate_relevance,climate_class_number,climate_class,meta_category,no_projects,effective_funding
1,0,Adaptation,Adaptation,279,1155449630.3
1,1,Solar-energy,Mitigation,35,225660874.05
1,3,Other-mitigation-projects,Mitigation,39,160434452.3
1,4,Biodiversity,Environment,2,13981870.82
1,6,Nature_conservation,Environment,8,38614162.72
1,7,Other-environment-projects,Environment,20,39328459.129999995
1,8,Sustainable-land-use,Environment,45,202254879.96
1,10,Renewables-multiple,Mitigation,2,9332051.469999999
1,11,Hydro-energy,Mitigation,9,66872415.18
1,12,Energy-efficiency,Mitigation,8,30849361.590000004
