effective_year,adaptation_funding,mitigation_funding,environment_funding
2008,0.0,0.0,1253637.81
2009,32622177.84,27150682.880000003,13387984.82
2010,2602284.82,2498583.25,8657289.83
2011,93119731.22,7190803.300000001,15672085.36
2012,59520920.53,45749003.45,14946771.18
2013,146643625.22,143849566.95,75077807.81
2014,221525927.71,16004421.41,32181116.11
2015,144628040.16,10110490.46,12127009.99
2016,65486793.099999994,10369055.21,19286882.61
2017,65004448.48,23421575.700000003,28143809.209999997
2018,88783087.46,26863586.69,45391325.26
2019,73469461.3,137548737.5,9103649.25
2020,29056423.81,19131570.63,3525450.9
2021,87928883.8,17172828.25,12299977.86
2022,22516100.22,5108405.52,1784574.63
2023,11967377.75,979843.39,1340000.0
2024,10574346.879999999,0.0,0.0
